"year";"country_iso3";"prod_code";"prod_descr";"sector";"X_cp";"gini";"gini_year";"hs2";"tot_exp_c";"tot_exp_p";"tot_world_exp";"RCA_cp";"s_cp";"M_cp";"diversity_c";"ubiquity_p";"eci_c";"pci_p";"dens_cp";"coi_c";"cog_cp";"PGI_p";"PGI_Z";"DENS_Z";"COG_Z";"EBS";"prod_code_str";"hs4";"policy_sector";"RANK"
2024;"ZAF";7223;"Stainless steel wire";"72";1584,33;63;2014;72;155041390,38;2459224,93;22733684200,976;0,094464702570935;1,0218755108664e-05;0;167;12;-0,0670669125439501;2,03745069062381;0,113561638041201;-3,55265424216155;0,573557559389815;31,2119921944258;-1,09865680856936;-1,12076049500332;2,25215265508562;0,74334965621722;"7223";7223;"Metal Fabrication";14
2024;"ZAF";4806;"Vegetable parchment, greaseproof papers, tracing papers, glassine and other glazed transparent or translucent papers, in rolls or sheets";"48";1337,784;63;2014;48;155041390,38;2642334,311;22733684200,976;0,0742369980292298;8,62856039101009e-06;0;167;13;-0,0670669125439501;1,29821622832021;0,120532252714376;-3,55265424216155;0,394113779820948;29,049256382844;-1,73222541294141;-0,932820525406829;1,41122800000589;0,736877629180156;"4806";4806;"Forestry";15
2024;"ZAF";8475;"Machines; for assembling electric or electronic lamps, tubes, valves, flashbulbs, in glass envelopes, machines for manufacturing or hot working glass or glassware";"84";1086,756;63;2014;84;155041390,38;3722504,955;22733684200,976;0,0428074078566585;7,00945726387261e-06;0;167;18;-0,0670669125439501;1,54380867686302;0,137346857203657;-3,55265424216155;0,46445353532133;31,7279170657224;-0,947517774889067;-0,479469364188064;1,74086012642825;0,73630284570975;"8475";8475;"Metal Fabrication";16
2024;"ZAF";8515;"Electric (electrically heated gas) soldering, brazing, welding machines and apparatus, capable or not of cutting, electric machines and apparatus for hot spraying of metals or sintered carbides";"85";25655,091;63;2014;85;155041390,38;12185116,027;22733684200,976;0,308720919431056;0,000165472529220232;0;167;16;-0,0670669125439501;1,61658468003721;0,124374357291872;-3,55265424216155;0,507925511858928;31,2334654567167;-1,09236626455187;-0,829230662627593;1,94458218892239;0,735905930282223;"8515";8515;"Metal Fabrication";17
2024;"ZAF";8401;"Nuclear reactors; fuel elements (cartridges), non-irradiated, for nuclear reactors, machinery and apparatus for isotopic separation";"84";252,474;63;2014;84;155041390,38;5224394,924;22733684200,976;0,00708602744901055;1,62842966888517e-06;0;167;10;-0,0670669125439501;1,06433258540529;0,134705122738571;-3,55265424216155;0,362827681701892;29,9417241663142;-1,47077897783258;-0,55069514818684;1,2646124342127;0,728232087952812;"8401";8401;"Metal Fabrication";18
2024;"ZAF";3810;"Metal-pickling preparations; fluxes etc for soldering, brazing; welding powders, pastes of metal and other materials; preparations used as cores or coatings for welding electrodes or rods";"38";4779,764;63;2014;38;155041390,38;2250940,67;22733684200,976;0,311361258713532;3,08289546958073e-05;0;167;13;-0,0670669125439501;2,01582376979526;0,109964961151733;-3,55265424216155;0,565542728980374;30,9690446989294;-1,16982773237478;-1,21773319783486;2,21459287723333;0,722229137257749;"3810";3810;"Chemicals";19
2024;"ZAF";2926;"Nitrile-function compounds";"29";291,077;63;2014;29;155041390,38;4324210,857;22733684200,976;0,00987013733953855;1,87741479411777e-06;0;167;13;-0,0670669125439501;1,71735950121271;0,11657571416793;-3,55265424216155;0,542146905008665;31,3069361676748;-1,07084318459235;-1,03949572823908;2,10495338317572;0,712100279842998;"2926";2926;"Chemicals";20
2024;"ZAF";8603;"Railway or tramway coaches, vans and trucks; self-propelled tenders, other than those of heading no. 8604";"86";2,95;63;2014;86;155041390,38;5070326,09;22733684200,976;8,53116404814698e-05;1,90271771477905e-08;0;167;15;-0,0670669125439501;0,804180357280668;0,137818000534322;-3,55265424216155;0,33515854960563;29,9972115094048;-1,45452408514807;-0,466766515530897;1,13494700128263;0,707568190299934;"8603";8603;"Motor Vehicles";21
2024;"ZAF";9027;"Instruments and apparatus; for physical or chemical analysis (e.g. polarimeters, spectrometers), for measuring or checking viscosity, porosity, etc, for measuring quantities of heat, sound or light";"90";63168,653;63;2014;90;155041390,38;55174921,841;22733684200,976;0,167873466296623;0,000407430898582477;0;167;17;-0,0670669125439501;1,66719453386976;0,126470612315891;-3,55265424216155;0,492904918531485;31,5207143308171;-1,00821735126498;-0,772711958904558;1,8741914108563;0,703232267738907;"9027";9027;"Non-priority Sector";22
2024;"ZAF";9022;"X-ray, alpha, beta, gamma radiation apparatus; x-ray tubes, x-ray generators, high tension generators, control panels and desks, screens, examination or treatment tables, chairs and the like";"90";29083,861;63;2014;90;155041390,38;27680268,904;22733684200,976;0,154064977184768;0,000187587720470751;0;167;13;-0,0670669125439501;1,59628509072565;0,129333808480458;-3,55265424216155;0,494173780906664;31,8809630080483;-0,902683309410206;-0,695515179947846;1,8801376613073;0,69576859692322;"9022";9022;"Non-priority Sector";23
