"RANK";"PRODUCT CODE";"PRODUCT DESCRIPTION";"RCA";"PCI";"RELATEDNESS DENSITY";"OPPORTUNITY GAIN (Z-SCORE)";"PGI (Z-SCORE)";"ECONOMIC BENEFIT SCORE"
31;8426;"Derricks, cranes, including cable cranes, mobile lifting frames, straddle carriers and works trucks fitted with a crane";0,266385100057806;0,816490141141082;0,127131507783855;1,31975595707384;-1,17055606272627;0,578472986408361
32;8465;"Machine-tools; (including machines for nailing, stapling, glueing or otherwise assembling) for working wood, cork, bone, hard plastics or rubber or similar hard materials";0,0792866087163508;1,42143038284234;0,114087880444413;1,501482841687;-1,33471504679351;0,576541936516373
33;5502;"Artificial filament tow";0,38350604579771;0,62796737790498;0,130067262159425;1,16217363371334;-1,22432027222418;0,570251306886264
34;9012;"Microscopes (excluding optical microscopes); diffraction apparatus";0,0251611257792489;1,92439993498601;0,108015158065228;1,47163373858907;-1,39109117480357;0,530807204116358
35;2934;"Nucleic acids and their salts, whether or not chemically defined; other heterocyclic compounds";0,023338277260257;1,3962868328265;0,126158243557374;1,26325556785902;-1,04599002889741;0,50937054316746
36;9011;"Microscopes, compound optical; including those for microphotography, microcinematography or microprojection";0,089224204334891;1,5383276987584;0,11512213277085;1,45062507880185;-1,086338694713;0,486092315720497
37;2842;"Salts of inorganic acids or peroxoacids, excluding azides, n.e.c.";0,0866521744995215;1,43888214205501;0,104054513006769;1,47032835379172;-1,33517852532846;0,476139218831479
38;7607;"Aluminium foil (whether or not printed or backed with paper, paperboard, plastics or similar backing materials) of a thickness (excluding any backing) not exceeding 0.2mm";0,367327480956128;0,724567923610276;0,129171558748654;1,01392122486641;-1,07451479834456;0,462848768856626
39;3701;"Photographic plates and film in the flat, sensitised, unexposed, of any material other than paper, paperboard or textiles; instant print film in the flat, sensitised, unexposed, whether or not in packs";0,0607056954328337;1,25455715745433;0,118268022256289;1,3326432997186;-1,04970140568443;0,462825521542457
40;8446;"Weaving machines (looms)";0,042635958731425;1,62057752341737;0,105993764934094;1,65952658055009;-1,04808661068318;0,460936531367022
41;8486;"Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers, semiconductor devices, electronic integrated circuits or flat panel displays; machines and apparatus specified in note 9-C to this Chapter";0,00135612390547454;2,15057485435351;0,110802145265902;1,52750460908346;-1,02030030623153;0,450881222067369
42;8507;"Electric accumulators, including separators therefor; whether or not rectangular (including square)";0,153000868485335;1,25858104490235;0,108418730114149;1,04955896149962;-1,30802300556738;0,366053224893516
43;2924;"Carboxyamide-function compounds; amide-function compounds of carbonic acid";0,0118085739064887;1,26116355599916;0,109419149312774;1,17154847766405;-1,07029028744381;0,336463174989475
